Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
USAS11,USINA SANTA ADÉLIA S.A.,15/02/2028,"IPCA + 6,8884%",7.0437,6.5869,6.9487,0.4084,6.5404,7.3572,1140.002799,99.8945,471.75,,15/08/2026
UTPS11,USINA TERMELETRICA PAMPA SUL S.A.,15/04/2028,"IPCA + 6,25%",6.941,6.4452,6.6423,0.2435,6.3988,6.8859,1012.549438,99.3035,477.18,,15/08/2026
UTPS12,USINA TERMELETRICA PAMPA SUL S.A.,15/04/2028,"IPCA + 4,5%",6.9418,6.4946,6.7202,0.405,6.3152,7.1253,958.8558,96.0171,483.17,0.05,15/08/2026
UTPS21,USINA TERMELETRICA PAMPA SUL S.A.,15/10/2036,"IPCA + 7,5%",6.981,6.4459,6.6888,0.3951,6.2937,7.084,1409.981337,104.8365,1582.18,,15/08/2032
UTPS22,USINA TERMELETRICA PAMPA SUL S.A.,15/10/2036,"IPCA + 5,75%",6.97,6.5664,6.7617,0.1759,6.5858,6.9377,1237.178319,93.9159,1648.16,,15/05/2033
VALE38,VALE S/A,15/01/2026,"IPCA + 6,71%",5.8037,5.3896,5.5206,0.2223,5.2983,5.743,1281.846295,100.8595,192.76,,15/05/2025
VALE48,VALE S/A,15/01/2029,"IPCA + 6,78%",--,--,6.6447,0.0985,6.5462,6.7433,1593.186033,100.2595,515.41,,15/08/2026
VAMO33,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A. (*)",15/06/2031,"IPCA + 6,3605%",9.7952,9.4256,9.6232,0.0895,9.5337,9.7128,1069.813863,86.7417,1173.88,0.15,15/08/2030
VAMO34,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A. (*)",15/10/2031,"IPCA + 7,6897%",10.1849,9.6209,9.8297,0.0982,9.7315,9.928,1094.737862,91.1428,1177.17,0.15,15/08/2030
VBRR11,VIA BRASIL BR 163 CONCESSIONARIA DE RODOVIAS S.A. (*),15/12/2030,"IPCA + 8,5914%",8.9245,8.4675,8.6598,0.0988,8.5611,8.7587,1143.59904,99.7588,966.41,,15/05/2029
VDBF12,VDB F2 GERACAO DE ENERGIA S.A.,15/04/2033,"IPCA + 3,8708%",7.178,--,6.8967,0.3816,6.515,7.2784,1094.461284,87.6117,1137.72,0.1,15/08/2030
VDEN12,VERDE 08 ENERGIA SA,15/07/2025,"IPCA + 5,9559%",5.8586,5.479,5.636,0.1859,5.45,5.822,1403.624261,100.2324,193.44,,15/05/2025
VERO12,VERO S.A. (*),17/03/2030,"IPCA + 9,34%",8.7547,8.402,8.589,0.1999,8.3891,8.789,1085.228404,102.3324,844.68,0.05,15/08/2028
VERO13,VERO S.A. (*),15/03/2031,"IPCA + 8,4041%",9.1075,8.619,8.7884,0.2473,8.5412,9.0358,1004.533587,98.4405,1117.97,,15/05/2029
VLIM13,VLI MULTIMODAL S/A (*),15/12/2028,"IPCA + 5,75%",6.7907,6.5001,6.6488,0.1011,6.5477,6.7499,1129.906869,96.9005,936.27,,15/08/2028
VLIM14,VLI MULTIMODAL S/A (*),15/09/2030,"IPCA + 6,4512%",6.8312,6.4348,6.621,0.1086,6.5124,6.7298,1037.21253,99.3194,1079.36,,15/05/2029
VLIM15,VLI MULTIMODAL S/A (*),15/04/2031,"IPCA + 6,1062%",6.7805,6.3658,6.5659,0.1511,6.4148,6.7171,1019.089987,97.7276,1337.68,,15/08/2030
VPLT12,VIAPAULISTA S.A.,15/06/2027,"IPCA + 3,9407%",6.945,6.0344,6.5599,0.3789,6.181,6.9389,575.939766,96.6671,340.62,,15/08/2026
VRDN12,VIARONDON CONCESSIONÁRIA DE RODOVIA S/A,15/12/2034,"IPCA + 5,55%",8.0449,7.464,7.7232,0.337,7.3862,8.0603,1166.056045,90.3305,1236.14,,15/08/2030
WDPR11,WINDEPAR HOLDING S. A.,15/12/2028,"IPCA + 7,6276%",6.7527,6.4315,6.4789,0.7133,5.7656,7.1923,1061.806419,102.3573,549.4,,15/05/2027
XNGU17,XINGU RIO TRANSMISSORA DE ENERGIA S.A. (*),15/12/2034,"IPCA + 4,8304%",--,--,7.0077,0.1009,6.9068,7.1088,1056.637458,90.0056,1268.03,,15/08/2030
