Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B,sheet_name,data
ALGAA2,ALGAR TELECOM S/A (*),15/01/2029,"DI + 1,55%",1.1051,0.9,0.9929,0.0484,0.9444,1.0414,1041.894257,101.6626,756.39,0.1,,DI_SPREAD,20240927
ALGTA3,ALGAR TELECOM S/A (*),17/02/2027,DI + 2%,1.1827,0.8521,1.0444,0.0537,0.9907,1.0983,1025.815217,101.1838,315.8,0.1,,DI_SPREAD,20240927
ALMC12,ALUBAR METAIS E CABOS S.A (*) (**),10/06/2027,"DI + 4,8%",4.9805,4,4.5629,0.106,4.4568,4.669,787.668863,100.3241,360.21,0.05,,DI_SPREAD,20240927
ALPA12,ALPARGATAS S.A. (*),12/12/2027,"DI + 1,35%",1.3,0.9035,1.1214,0.0372,1.0842,1.1586,1041.096031,100.5908,657.66,,,DI_SPREAD,20240927
ALSO15,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),15/03/2027,"DI + 1,43%",0.9793,0.5243,0.7609,0.0171,0.7438,0.7781,1012.9503,100.8811,334.53,,,DI_SPREAD,20240927
ALSO16,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),04/10/2024,"DI + 1,35%",--,--,0.8878,0.0792,0.8085,0.9671,1021.102183,101.018,5,0.1,,DI_SPREAD,20240927
ALSO25,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),15/03/2029,"DI + 1,55%",1.1363,0.8462,1.0004,0.0856,0.9148,1.0861,1021.489004,101.7272,796.22,,,DI_SPREAD,20240927
ALSR12,ALSOL ENERGIAS RENOVAVEIS S/A (*) (**),15/03/2025,"DI + 2,35%",1.8,1.3061,1.5505,0.0016,1.5489,1.5522,1008.02783,100.3585,115,,,DI_SPREAD,20240927
ALTF11,ALTHAIA S.A. INDUSTRIA FARMACEUTICA (*) (**),15/01/2027,"DI + 2,3%",2.2,1.8582,2.0298,0.0284,2.0014,2.0583,1030.714927,100.4133,393.12,0.05,,DI_SPREAD,20240927
ALUP17,ALUPAR INVESTIMENTO S/A (*) (**),15/10/2025,"DI + 1,4%",0.8575,0.3486,0.6323,0.0674,0.5649,0.6999,1058.053578,100.384,127.31,0.15,,DI_SPREAD,20240927
AMBP16,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**),25/04/2029,"DI + 2,75%",2.858,2.0764,2.4877,0.0934,2.3943,2.5811,1055.528443,100.6986,686.9,0.05,,DI_SPREAD,20240927
ANHB10,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*) (**),21/10/2026,"DI + 1,2%",0.5947,0.2995,0.4502,0.0461,0.4041,0.4965,380.967983,100.7202,243.61,,,DI_SPREAD,20240927
ANHBA2,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),04/11/2026,"DI + 1,3%",0.7421,0.2238,0.4971,0.1275,0.3696,0.6246,1058.706654,101.1311,356.55,,,DI_SPREAD,20240927
ANHBA3,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*) (**),15/09/2027,"DI + 1,2%",0.7561,0.33,0.5702,0.1538,0.4164,0.7241,1017.61092,101.3535,543.1,0.1,,DI_SPREAD,20240927
ANHBA4,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),14/06/2028,"DI + 2,14%",1.215,0.9687,1.0935,0.0308,1.0627,1.1244,1065.019713,102.7564,666.87,0.1,,DI_SPREAD,20240927
APPSB2,AUTOPISTA PLANALTO SUL S/A (*),15/09/2028,"DI + 2,15%",1.9762,1.7,1.8227,0.0242,1.7985,1.847,1010.658136,100.6274,491.56,,,DI_SPREAD,20240927
APRB28,AUTOPISTA REGIS BITTENCOURT S/A (*),15/06/2027,"DI + 0,86%",0.83,0.55,0.688,0.0136,0.6744,0.7016,705.04985,100.2548,375.94,,,DI_SPREAD,20240927
ARML12,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),25/11/2028,"DI + 2,5%",1.3,1.1,1.2,0,1.2,1.2,1067.741544,102.2569,443.47,,,DI_SPREAD,20240927
ARML13,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**),04/11/2029,"DI + 2,25%",1.2689,1.0804,1.1963,0.029,1.1674,1.2254,1087.908586,103.5249,846.14,,,DI_SPREAD,20240927
ARML14,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),15/03/2032,"DI + 1,9%",1.587,1.2535,1.3892,0.0443,1.3448,1.4336,1026.774781,102.241,1114.52,,,DI_SPREAD,20240927
